revenues,revenues(change%),profit,profit(change%),asset($m),marketcap(03032021),change_rank(1000),employees,change_rank(500),measure_rank,company
"$2,957",13.4%,$621.7,53.7%,"$4,587.4","$28,231.7",107,"7,770",-,-,ResMed
"$2,957",-63.5%,"$-1,354",-338%,"$13,406","$6,440.4",-358,"18,485",-,-,JetBlue Airways
"$2,948.2",-20%,"$-1,914.7",-,"$9,203","$2,584.6",-85,"9,588",-,-,iHeartMedia
"$2,942",-9.3%,$539,-33.9%,"$81,479","$8,993.3",-14,"9,678",-,-,Zions Bancorp.
"$2,940.2",-1.6%,$71.1,77.8%,"$1,779","$1,787.1",31,"13,000",-,-,ArcBest
"$2,937.8",27.8%,$482.8,68.7%,"$6,848.7","$4,154.4",164,"6,430",-,-,TEGNA
"$2,936.9",-10.5%,$181,35.8%,"$4,588.9","$5,474.9",-22,"11,000",-,-,Crane
"$2,934.6",-13.1%,$348.2,-8.6%,"$15,644.8","$13,020.2",-45,"1,825",-,-,Carlyle Group
"$2,929.3",2.4%,$214,-11.6%,"$3,990.1","$9,352",53,"13,000",-,-,AptarGroup
"$2,923.9",11.5%,$364.3,44.6%,"$5,490.8","$14,552.4",95,"18,400",-,-,Charles River Laboratories International
"$2,922.3",2.7%,$246.4,-9.3%,"$9,687.9","$4,354.1",53,"2,400",-,-,Selective Insurance Group
"$2,915.1",2.4%,"$1,357.2",-10.7%,"$11,816.5","$43,131.1",51,"5,400",-,-,Public Storage
"$2,907",-10.2%,$189.3,-20.8%,"$4,589","$5,796.2",-22,"23,000",-,-,Regal Rexnord
"$2,906",10.3%,$-118,-,"$5,428","$9,764.5",-,"6,916",-,-,McAfee
"$2,900.1",-13.8%,$-28.1,-,"$2,980.3","$1,010.5",-46,"9,989",-,-,Triumph Group
"$2,895.4",4.6%,$140.7,-8.5%,"$2,953.2","$5,053.7",61,"10,844",-,-,Valmont Industries
"$2,895.3",-3.3%,$344.9,-6.8%,"$3,160.7","$10,932.7",18,"13,900",-,-,A.O. Smith
"$2,889.1",-1.5%,$300.4,-8.4%,"$6,444.1","$2,813.1",27,"16,661",-,-,Graham Holdings
"$2,886",-33.7%,$-275,-299.3%,"$8,898","$7,183.2",-157,"18,000",-,-,Marriott Vacations Worldwide
"$2,886",226.1%,$-461,-,"$6,353","$42,153.5",-,"3,886",-,-,DoorDash
"$2,884.6",-0.7%,$9.2,-94.9%,"$3,225.8","$2,664.8",29,"12,623",-,-,Moog
"$2,881.1",-37.7%,"$-1,870.3",-,"$4,667.1",$300.9,-190,"4,600",-,-,Peabody Energy
"$2,881",-0.9%,$223,46.5%,"$4,671.1","$7,331.7",26,"10,000",-,-,Hill-Rom Holdings
"$2,873",-0.5%,$-680,-,"$6,231","$2,351.8",33,"8,266",-,-,Avaya Holdings
"$2,860.6",4.8%,$-93.3,-282.6%,"$5,728.3","$3,244.7",59,"5,900",-,-,Energizer Holdings
"$2,856.7",9.2%,$150.1,31.3%,"$1,757.4","$2,705.6",80,"11,100",-,-,Comfort Systems USA
"$2,848.6",7.6%,$271.8,23.3%,"$2,898.3","$12,526.7",73,"4,750",-,-,RH
"$2,821.1",-2.8%,$601.4,17.6%,"$15,359","$12,668.7",24,"4,694",-,-,Atmos Energy
"$2,815",-8%,$240,-36.9%,"$5,246.3","$2,204",-8,"2,180",-,-,AMC Networks
"$2,814.2",5.4%,$208.1,19.9%,"$1,751","$3,137.5",64,"14,320",-,-,Rent-A-Center
"$2,813",-29%,"$-4,517",-1982.1%,"$17,619","$13,288.7",-134,732,-,-,Diamondback Energy
"$2,812.1",-14.6%,$37.1,3.6%,"$1,859.5","$1,464.7",-48,"7,600",-,-,Hyster-Yale Materials Handling
"$2,800",-4.2%,$10,-,"$3,730",$884.9,13,"7,100",-,-,Resolute Forest Products
"$2,796.2",17.9%,$158.4,8.1%,"$2,298","$3,328",116,"12,400",-,-,LCI Industries
"$2,792.2",-8%,$49,-31.1%,"$3,173.8","$1,550",-8,"10,600",-,-,Greenbrier
"$2,790.3",-3.7%,$123.7,-5.4%,"$4,036.7","$3,286.9",19,"6,428",-,-,H.B. Fuller
"$2,788",20.7%,$499,-,"$2,086","$5,909",132,"4,500",-,-,Louisiana-Pacific
"$2,784.6",6.8%,$712.7,58.4%,"$7,561.8","$28,763.6",69,"8,960",-,-,Verisk Analytics
"$2,772.6",1%,$527,-24.4%,"$11,830","$7,678.8",-,"1,045",-,-,Western Midstream Partners
"$2,765.7",-6.6%,$872.7,67.3%,"$22,858.2","$15,776.9",-1,750,-,-,Boston Properties
"$2,762.3",23.3%,$212.3,-,"$2,337.3",$409.8,-,"27,500",-,-,Joann
"$2,733",36.2%,$305,11.3%,"$24,165","$3,150",204,"9,800",-,-,Mr. Cooper Group
"$2,728",-2.9%,$183.7,6%,"$6,774.4",-,30,"3,832",-,-,Amica Mutual Insurance
"$2,724",-19.9%,$-569,-,"$7,984","$3,674.4",-83,"9,000",-,-,Scientific Games
"$2,718",3.6%,$247,29.3%,"$2,815.3","$6,925.4",59,"10,540",-,-,TopBuild
"$2,716.6",2.3%,$343.2,-1.1%,"$7,311.6","$17,214.5",51,"8,200",-,-,TransUnion
"$2,714.6",-1.8%,$15.3,-,"$1,829.4",$839.5,31,"20,000",-,-,PAE
"$2,711.3",-11.5%,$398.4,-,"$7,108.9","$9,252.6",-28,"5,100",-,-,First Solar
"$2,707.1",11%,$-245.8,-,"$6,377.8","$4,887.3",-,"7,200",-,-,Rackspace Technology
"$2,706.7",12.5%,$581.8,36%,"$2,294.6","$41,899.5",87,"9,300",-,-,IDEXX Laboratories
"$2,281.7",11.2%,$222.8,-24.6%,"$47,802.5","$7,090",78,"6,833",-,-,TCF Financial
"$2,277.6",-5.2%,$-30.5,-,"$1,312.3","$1,236.2",-10,"7,060",-,-,REV Group
"$2,268.2",-34.3%,$-149,-,"$1,808.3",$479.7,-198,"1,400",-,-,Calumet Specialty Products Partners
"$2,254.3",-29.2%,$-56.1,-119.7%,"$5,243.7","$2,074.6",-156,731,-,-,Crestwood Equity Partners
"$2,249.3",-16.4%,$177.5,329.9%,"$2,895.9","$1,550.1",-64,"16,700",-,-,TTM Technologies
"$2,247.4",8.5%,$58.8,55.9%,$995.9,"$1,203.2",65,"7,200",-,-,MYR Group
"$2,234.7",-36%,$-488.7,-617.2%,"$1,976.6","$1,259.8",-209,"11,400",-,-,Designer Brands
"$2,229.4",-5.5%,$-908,-,"$5,868.5","$22,196.9",-5,"6,500",-,-,Splunk
"$2,217.5",8%,$386.2,5.4%,"$14,905.3","$5,826.2",71,"2,528",-,-,Primerica
"$2,205.6",8%,$699.9,18.3%,"$3,455.3","$25,666.4",74,"7,600",-,-,Copart
"$2,195.1",-5.9%,$207.5,67.3%,"$2,854.1","$6,582.1",-,"9,000",-,-,CDK Global
"$2,191.4",-5.3%,$654.7,-20.9%,"$3,629.3","$24,490.9",3,"7,115",-,-,Maxim Integrated Products
"$2,187.7",-37.6%,$0.5,-99.7%,"$6,798.2","$1,945.5",-220,"9,400",-,-,Kar Auction Services
"$2,181.8",-6.8%,-,-,"$41,091",-,-6,"1,082",-,-,Ohio National Mutual
"$2,181.1",-8.4%,$1.5,-99.1%,"$3,227.2","$1,976.3",-18,"4,600",-,-,Carpenter Technology
"$2,178.5",-34.5%,$-134.7,-185.5%,"$6,558.9","$6,608.3",-188,"14,284",-,-,Boyd Gaming
"$2,175.8",-26.2%,$750.7,-,"$2,707.9","$1,702.6",-124,"17,200",-,-,Unisys
"$2,175.5",137.3%,$613.7,-,"$4,000.9","$25,176.1",-,"2,092",-,-,Seagen
"$2,173.4",-13.2%,$-58,-218.3%,"$2,607","$4,000",-49,"6,451",-,-,Itron
"$2,171.4",-23.5%,$-272.5,-291.5%,"$5,924.2","$3,622",-102,"5,400",-,-,Kirby
"$2,161.2",7.2%,$260.8,28.3%,"$1,845.9","$16,939.1",72,"15,616",-,-,Rollins
"$2,160",-46.6%,$-255,-150.3%,"$7,613","$5,255.6",-282,"15,500",-,-,Travel + Leisure
"$2,159",3.9%,$551,330.5%,"$4,837","$6,285.8",44,"11,400",-,-,Terminix Global Holdings
"$2,152.5",711%,$25.1,-,"$1,837.7","$1,447.8",-,"6,421",-,-,Franchise Group
"$2,146.9",16.7%,$346.2,43.2%,"$2,793.8","$20,809.5",-,"9,200",-,-,West Pharmaceutical Services
"$2,145",1%,$155,-27.6%,"$9,069","$4,252.2",35,"3,639",-,-,Portland General Electric
"$2,144",52.7%,$538,146.8%,"$31,038","$2,375.8",-,"5,214",-,-,Flagstar Bancorp
"$2,137.1",-19.1%,$122.8,-67.7%,"$1,461.4","$2,977.4",-77,895,-,-,Renewable Energy Group
"$2,132.7",5.6%,$276.1,4.5%,"$1,765.1","$9,307.9",60,"3,600",-,-,Deckers Outdoor
"$2,127.1",-28.4%,$-8.5,-102.5%,"$6,887.6","$2,740.6",-142,"12,502",-,-,SkyWest
"$2,127.1",1.9%,$52.2,-,"$2,007.5",$653.6,34,"1,063",-,-,Beazer Homes USA
"$2,123.5",12.1%,$278.7,14.2%,"$2,293.5","$6,273.6",-,"6,700",-,-,BWX Technologies
"$2,122.3",-4.9%,$-173.7,-140.1%,"$10,718.8","$6,472.7",1,"2,360",-,-,OGE Energy
"$2,121.1",-3.3%,$249.5,-26%,"$3,674.7","$11,540.5",15,"7,555",-,-,Nordson
"$2,117.1",-27.5%,$-439.1,-799%,"$1,867.1",$827.3,-138,"6,650",-,-,Caleres
"$2,112.9",-5.1%,$435,-13.1%,"$46,671.1","$6,212.1",-,"4,915",-,-,BOK Financial
"$2,112.4",-1.6%,$4.4,-41.3%,"$2,079","$1,471.1",19,"5,400",-,-,AAR
"$2,110.9",-32.9%,$156.6,-81.4%,"$23,669.1","$10,904.7",-184,"1,729",-,-,Apollo Global Management
"$2,105.9",7.7%,$183.6,44.8%,"$1,567.2","$8,698",-,"21,000",-,-,Amedisys
"$2,095.9",-68.3%,"$-2,067.2",-1780.9%,"$13,869.5","$14,497.8",-486,"27,500",-,-,Wynn Resorts
"$2,084.3",-23.1%,$-80.4,-,"$2,188.5","$4,356",-105,"4,287",-,-,Hain Celestial Group
"$2,083.1",3.4%,$24.1,-83.6%,"$9,158","$30,343",52,"1,483",-,-,SBA Communications
"$2,081",-22.9%,$299,-50.5%,"$4,477","$4,536.9",-104,"3,300",-,-,Allison Transmission Holdings
"$2,079.6",7.3%,$319.5,45.3%,"$1,434.9","$7,372.2",-,"15,544",-,-,Chemed
"$2,072.7",4.6%,$137.7,-2.3%,"$2,899.9","$3,758.6",-,"4,969",-,-,Aerojet Rocketdyne Holdings
"$2,066",-58.8%,$-703,-191.8%,"$9,129","$8,377.5",-400,"37,000",-,-,Hyatt Hotels
"$2,063.2",-0.8%,$111.6,16.6%,"$2,483.4","$6,041.2",19,"21,150",-,-,LHC Group
"$2,056.7",-2.3%,$48.9,2.8%,"$3,949.3","$1,785.2",15,"4,950",-,-,BGC Partners
"$2,055.1",-35%,$23.5,-83.6%,"$2,436.4","$1,458.1",-197,"3,050",-,-,G-III Apparel Group
"$2,053.1",-9.5%,$14.1,-40%,"$1,744.2","$1,123.2",-20,"11,234",-,-,Benchmark Electronics
"$2,027.5",-9.5%,$202.2,1187.9%,"$7,888.9","$6,352",-18,"3,900",-,-,Affiliated Managers Group
"$2,016.7",14.4%,$301.4,510.3%,"$4,283.2","$5,830.5",-,"5,300",-,-,CoreLogic
"$2,015.4",-0.1%,$516.3,-12.1%,"$25,215.2","$5,590.5",39,120,-,-,Air Lease
"$2,010.9",-8.2%,$270.6,6.4%,"$1,933.9","$4,154.4",-4,"2,105",-,-,NewMarket
"$1,999.4",-33.5%,$-147.3,-207%,"$8,701.8","$3,161.6",-174,"6,375",-,-,Trinity Industries
"$1,992.5",22.5%,$91.1,-,"$4,006","$2,022.7",-,"6,000",-,-,Amneal Pharmaceuticals
"$1,987.7",11.4%,$24.5,-49%,"$7,831.2","$9,708.5",-,"16,300",-,-,Americold Realty Trust
"$1,987.5",-4.1%,$157.8,-20%,"$3,049","$9,742.6",10,"7,400",-,-,Bruker
"$1,983.2",-20.1%,$-253.4,-299%,"$2,747.1","$2,715.4",-83,"42,500",-,-,Cheesecake Factory
"$1,980.1",-3.8%,$146.7,-26.2%,"$3,041.1","$5,632.6",-8,"6,570",-,-,Zurn Water Solutions
"$1,977.3",0.2%,$104.9,2.2%,"$2,743.8","$3,368.4",-,"8,198",-,-,Korn Ferry
"$1,975.5",-10.7%,$-2.2,-102.6%,"$1,536.1",$759.5,-19,"11,300",-,-,Modine Manufacturing
"$1,974.8",49.4%,$-429.4,-1124.2%,"$6,206.5","$11,057.4",-,"2,245",-,-,Zynga
"$1,971.9",-20.9%,$-55.2,-,"$3,139.7","$1,981.4",-90,"6,300",-,-,Belden
"$1,971.4",-53%,"$-1,148.8",-199.9%,"$10,620.9","$2,532.3",-340,675,-,-,Murphy Oil
"$1,968.7",-30.4%,$-711.8,-,"$6,136.9","$2,671",-145,533,-,-,Range Resources
"$1,967.9",18.5%,$132,72.8%,"$3,767.6","$2,010.4",-,"3,207",-,-,B&G Foods
"$1,963.7",-13.6%,$98.8,-67.2%,"$5,244.2","$11,741.1",-39,"25,400",-,-,Vail Resorts
"$1,962.1",6.2%,$123.4,-29.5%,"$2,314.8","$10,677.2",-,"12,050",-,-,Five Below
"$1,960.8",7.7%,$491.7,7.5%,"$49,957.7","$8,148.2",-,"6,587",-,-,First Citizens BancShares
"$1,955.4",-13%,$41.9,-62.1%,"$1,418","$1,698.5",-40,"7,600",-,-,HNI
"$1,953.7",-24.6%,$193.9,14.4%,"$5,569.8","$3,837.5",-112,"1,156",-,-,New Jersey Resources
"$1,949.7",-8.9%,$67.6,-,"$3,540.9","$2,149.4",-15,"5,800",-,-,Edgewell Personal Care
"$1,949.2",18.6%,$118.6,53.8%,"$1,516.4","$4,695",-,"61,000",-,-,TTEC Holdings
"$1,935.6",11.4%,$106.6,-5.9%,"$2,646.7","$3,135.7",-,"6,410",-,-,Arcosa
"$1,926.7",30.5%,$493.6,388.2%,"$4,290.5","$34,755.1",-,"5,950",-,-,DexCom
"$1,923.7",-37%,$-108.8,-,"$1,578.9","$1,208.8",-204,839,-,-,Green Plains
"$1,923.7",1.9%,$212.6,23.9%,"$3,252.3","$7,411",-,"4,179",-,-,Teledyne FLIR
"$1,915.1",34.5%,$269.3,-,"$4,859.4","$1,585.5",-,"5,400",-,-,E.W. Scripps
"$1,913.9",15.2%,$-256.3,-,"$2,387.2","$11,056.4",-,"2,760",-,-,Dropbox
"$1,910",-14.2%,$71.7,-31.2%,"$2,120.9","$1,446.1",-46,"24,000",-,-,Universal
"$1,905.5",-3.8%,$54.2,-71.3%,"$3,709.3","$1,088.4",-,"12,415",-,-,CoreCivic
"$1,905",-14.1%,$80.1,-31.8%,"$3,982.5","$1,834.6",-42,"5,742",-,-,Newmark Group
"$1,904.3",-21.3%,$-619,-,"$2,527.7",$657.7,-99,"6,000",-,-,Revlon
"$1,904",1.8%,$-28,-380%,"$3,706","$1,829.3",-,"4,000",-,-,Covanta Holding
"$1,900",68%,$-743.9,-1526.1%,"$3,475.8","$4,368.1",-,"6,600",-,-,ChampionX
"$1,887.9",-10%,$-40.2,-,"$7,073.4","$2,230.7",-23,"2,400",-,-,EchoStar
"$1,885.3",-20.6%,$-5.7,-102.3%,"$3,037.6","$3,338.8",-89,"8,989",-,-,Kennametal
"$1,878.1",-3.1%,$55.2,12.2%,"$2,889.3",$579.9,-,"2,784",-,-,Valhi
"$1,876.5",-29.9%,$-81.2,-184.6%,"$2,465.9","$1,495.2",-147,"11,000",-,-,Guess
"$1,874.1",3.5%,$-26.3,-105.2%,"$2,993.3","$1,354.7",-,"11,900",-,-,Harsco
"$1,869.8",0.6%,$126.8,22.9%,"$1,752.3","$2,858.9",-,"2,293",-,-,Stepan
"$1,868.6",6.1%,$77.1,-,"$1,800.4",$624.7,-,"3,340",-,-,Clearwater Paper
"$1,861.2",-83.9%,"$-1,724.5",-2567.5%,"$10,589.3","$18,457.7",-719,"8,200",-,-,Live Nation Entertainment
"$1,860.5",9.2%,$859.1,-,"$5,848","$13,730",-,"3,059",-,-,BioMarin Pharmaceutical
"$1,860.1",1.6%,$-116.1,-,"$5,413.2","$2,649.4",-,"9,950",-,-,Surgery Partners
"$1,859.3",16.9%,$295,15.7%,"$2,917.7","$15,120.7",-,"5,800",-,-,Entegris
"$1,856.6",9.3%,$139.2,70.1%,$800.1,"$3,560.3",-,"4,625",-,-,Sleep Number
"$1,855.4",-5%,$88.6,-52%,"$8,241.2","$3,817.5",-,"3,583",-,-,Spire
"$1,854.6",-30.9%,$-582.7,-,"$5,755.3",$842.1,-158,"4,800",-,-,Clear Channel Outdoor Holdings
"$2,281.7",11.2%,$222.8,-24.6%,"$47,802.5","$7,090",78,"6,833",-,-,TCF Financial
"$2,277.6",-5.2%,$-30.5,-,"$1,312.3","$1,236.2",-10,"7,060",-,-,REV Group
"$2,268.2",-34.3%,$-149,-,"$1,808.3",$479.7,-198,"1,400",-,-,Calumet Specialty Products Partners
"$2,254.3",-29.2%,$-56.1,-119.7%,"$5,243.7","$2,074.6",-156,731,-,-,Crestwood Equity Partners
"$2,249.3",-16.4%,$177.5,329.9%,"$2,895.9","$1,550.1",-64,"16,700",-,-,TTM Technologies
"$2,247.4",8.5%,$58.8,55.9%,$995.9,"$1,203.2",65,"7,200",-,-,MYR Group
"$2,234.7",-36%,$-488.7,-617.2%,"$1,976.6","$1,259.8",-209,"11,400",-,-,Designer Brands
"$2,229.4",-5.5%,$-908,-,"$5,868.5","$22,196.9",-5,"6,500",-,-,Splunk
"$2,217.5",8%,$386.2,5.4%,"$14,905.3","$5,826.2",71,"2,528",-,-,Primerica
"$2,205.6",8%,$699.9,18.3%,"$3,455.3","$25,666.4",74,"7,600",-,-,Copart
"$2,195.1",-5.9%,$207.5,67.3%,"$2,854.1","$6,582.1",-,"9,000",-,-,CDK Global
"$2,191.4",-5.3%,$654.7,-20.9%,"$3,629.3","$24,490.9",3,"7,115",-,-,Maxim Integrated Products
"$2,187.7",-37.6%,$0.5,-99.7%,"$6,798.2","$1,945.5",-220,"9,400",-,-,Kar Auction Services
"$2,181.8",-6.8%,-,-,"$41,091",-,-6,"1,082",-,-,Ohio National Mutual
"$2,181.1",-8.4%,$1.5,-99.1%,"$3,227.2","$1,976.3",-18,"4,600",-,-,Carpenter Technology
"$2,178.5",-34.5%,$-134.7,-185.5%,"$6,558.9","$6,608.3",-188,"14,284",-,-,Boyd Gaming
"$2,175.8",-26.2%,$750.7,-,"$2,707.9","$1,702.6",-124,"17,200",-,-,Unisys
"$2,175.5",137.3%,$613.7,-,"$4,000.9","$25,176.1",-,"2,092",-,-,Seagen
"$2,173.4",-13.2%,$-58,-218.3%,"$2,607","$4,000",-49,"6,451",-,-,Itron
"$2,171.4",-23.5%,$-272.5,-291.5%,"$5,924.2","$3,622",-102,"5,400",-,-,Kirby
"$2,161.2",7.2%,$260.8,28.3%,"$1,845.9","$16,939.1",72,"15,616",-,-,Rollins
"$2,160",-46.6%,$-255,-150.3%,"$7,613","$5,255.6",-282,"15,500",-,-,Travel + Leisure
"$2,159",3.9%,$551,330.5%,"$4,837","$6,285.8",44,"11,400",-,-,Terminix Global Holdings
"$2,152.5",711%,$25.1,-,"$1,837.7","$1,447.8",-,"6,421",-,-,Franchise Group
"$2,146.9",16.7%,$346.2,43.2%,"$2,793.8","$20,809.5",-,"9,200",-,-,West Pharmaceutical Services
"$2,145",1%,$155,-27.6%,"$9,069","$4,252.2",35,"3,639",-,-,Portland General Electric
"$2,144",52.7%,$538,146.8%,"$31,038","$2,375.8",-,"5,214",-,-,Flagstar Bancorp
"$2,137.1",-19.1%,$122.8,-67.7%,"$1,461.4","$2,977.4",-77,895,-,-,Renewable Energy Group
"$2,132.7",5.6%,$276.1,4.5%,"$1,765.1","$9,307.9",60,"3,600",-,-,Deckers Outdoor
"$2,127.1",-28.4%,$-8.5,-102.5%,"$6,887.6","$2,740.6",-142,"12,502",-,-,SkyWest
"$2,127.1",1.9%,$52.2,-,"$2,007.5",$653.6,34,"1,063",-,-,Beazer Homes USA
"$2,123.5",12.1%,$278.7,14.2%,"$2,293.5","$6,273.6",-,"6,700",-,-,BWX Technologies
"$2,122.3",-4.9%,$-173.7,-140.1%,"$10,718.8","$6,472.7",1,"2,360",-,-,OGE Energy
"$2,121.1",-3.3%,$249.5,-26%,"$3,674.7","$11,540.5",15,"7,555",-,-,Nordson
"$2,117.1",-27.5%,$-439.1,-799%,"$1,867.1",$827.3,-138,"6,650",-,-,Caleres
"$2,112.9",-5.1%,$435,-13.1%,"$46,671.1","$6,212.1",-,"4,915",-,-,BOK Financial
"$2,112.4",-1.6%,$4.4,-41.3%,"$2,079","$1,471.1",19,"5,400",-,-,AAR
"$2,110.9",-32.9%,$156.6,-81.4%,"$23,669.1","$10,904.7",-184,"1,729",-,-,Apollo Global Management
"$2,105.9",7.7%,$183.6,44.8%,"$1,567.2","$8,698",-,"21,000",-,-,Amedisys
"$2,095.9",-68.3%,"$-2,067.2",-1780.9%,"$13,869.5","$14,497.8",-486,"27,500",-,-,Wynn Resorts
"$2,084.3",-23.1%,$-80.4,-,"$2,188.5","$4,356",-105,"4,287",-,-,Hain Celestial Group
"$2,083.1",3.4%,$24.1,-83.6%,"$9,158","$30,343",52,"1,483",-,-,SBA Communications
"$2,081",-22.9%,$299,-50.5%,"$4,477","$4,536.9",-104,"3,300",-,-,Allison Transmission Holdings
"$2,079.6",7.3%,$319.5,45.3%,"$1,434.9","$7,372.2",-,"15,544",-,-,Chemed
"$2,072.7",4.6%,$137.7,-2.3%,"$2,899.9","$3,758.6",-,"4,969",-,-,Aerojet Rocketdyne Holdings
"$2,066",-58.8%,$-703,-191.8%,"$9,129","$8,377.5",-400,"37,000",-,-,Hyatt Hotels
"$2,063.2",-0.8%,$111.6,16.6%,"$2,483.4","$6,041.2",19,"21,150",-,-,LHC Group
"$2,056.7",-2.3%,$48.9,2.8%,"$3,949.3","$1,785.2",15,"4,950",-,-,BGC Partners
"$2,055.1",-35%,$23.5,-83.6%,"$2,436.4","$1,458.1",-197,"3,050",-,-,G-III Apparel Group
"$2,053.1",-9.5%,$14.1,-40%,"$1,744.2","$1,123.2",-20,"11,234",-,-,Benchmark Electronics
"$2,027.5",-9.5%,$202.2,1187.9%,"$7,888.9","$6,352",-18,"3,900",-,-,Affiliated Managers Group
"$2,016.7",14.4%,$301.4,510.3%,"$4,283.2","$5,830.5",-,"5,300",-,-,CoreLogic
"$2,015.4",-0.1%,$516.3,-12.1%,"$25,215.2","$5,590.5",39,120,-,-,Air Lease
"$2,010.9",-8.2%,$270.6,6.4%,"$1,933.9","$4,154.4",-4,"2,105",-,-,NewMarket
"$1,999.4",-33.5%,$-147.3,-207%,"$8,701.8","$3,161.6",-174,"6,375",-,-,Trinity Industries
"$1,992.5",22.5%,$91.1,-,"$4,006","$2,022.7",-,"6,000",-,-,Amneal Pharmaceuticals
"$1,987.7",11.4%,$24.5,-49%,"$7,831.2","$9,708.5",-,"16,300",-,-,Americold Realty Trust
"$1,987.5",-4.1%,$157.8,-20%,"$3,049","$9,742.6",10,"7,400",-,-,Bruker
"$1,983.2",-20.1%,$-253.4,-299%,"$2,747.1","$2,715.4",-83,"42,500",-,-,Cheesecake Factory
"$1,980.1",-3.8%,$146.7,-26.2%,"$3,041.1","$5,632.6",-8,"6,570",-,-,Zurn Water Solutions
"$1,977.3",0.2%,$104.9,2.2%,"$2,743.8","$3,368.4",-,"8,198",-,-,Korn Ferry
"$1,975.5",-10.7%,$-2.2,-102.6%,"$1,536.1",$759.5,-19,"11,300",-,-,Modine Manufacturing
"$1,974.8",49.4%,$-429.4,-1124.2%,"$6,206.5","$11,057.4",-,"2,245",-,-,Zynga
"$1,971.9",-20.9%,$-55.2,-,"$3,139.7","$1,981.4",-90,"6,300",-,-,Belden
"$1,971.4",-53%,"$-1,148.8",-199.9%,"$10,620.9","$2,532.3",-340,675,-,-,Murphy Oil
"$1,968.7",-30.4%,$-711.8,-,"$6,136.9","$2,671",-145,533,-,-,Range Resources
"$1,967.9",18.5%,$132,72.8%,"$3,767.6","$2,010.4",-,"3,207",-,-,B&G Foods
"$1,963.7",-13.6%,$98.8,-67.2%,"$5,244.2","$11,741.1",-39,"25,400",-,-,Vail Resorts
"$1,962.1",6.2%,$123.4,-29.5%,"$2,314.8","$10,677.2",-,"12,050",-,-,Five Below
"$1,960.8",7.7%,$491.7,7.5%,"$49,957.7","$8,148.2",-,"6,587",-,-,First Citizens BancShares
"$1,955.4",-13%,$41.9,-62.1%,"$1,418","$1,698.5",-40,"7,600",-,-,HNI
"$1,953.7",-24.6%,$193.9,14.4%,"$5,569.8","$3,837.5",-112,"1,156",-,-,New Jersey Resources
"$1,949.7",-8.9%,$67.6,-,"$3,540.9","$2,149.4",-15,"5,800",-,-,Edgewell Personal Care
"$1,949.2",18.6%,$118.6,53.8%,"$1,516.4","$4,695",-,"61,000",-,-,TTEC Holdings
"$1,935.6",11.4%,$106.6,-5.9%,"$2,646.7","$3,135.7",-,"6,410",-,-,Arcosa
"$1,926.7",30.5%,$493.6,388.2%,"$4,290.5","$34,755.1",-,"5,950",-,-,DexCom
"$1,923.7",-37%,$-108.8,-,"$1,578.9","$1,208.8",-204,839,-,-,Green Plains
"$1,923.7",1.9%,$212.6,23.9%,"$3,252.3","$7,411",-,"4,179",-,-,Teledyne FLIR
"$1,915.1",34.5%,$269.3,-,"$4,859.4","$1,585.5",-,"5,400",-,-,E.W. Scripps
"$1,913.9",15.2%,$-256.3,-,"$2,387.2","$11,056.4",-,"2,760",-,-,Dropbox
"$1,910",-14.2%,$71.7,-31.2%,"$2,120.9","$1,446.1",-46,"24,000",-,-,Universal
"$1,905.5",-3.8%,$54.2,-71.3%,"$3,709.3","$1,088.4",-,"12,415",-,-,CoreCivic
"$1,905",-14.1%,$80.1,-31.8%,"$3,982.5","$1,834.6",-42,"5,742",-,-,Newmark Group
"$1,904.3",-21.3%,$-619,-,"$2,527.7",$657.7,-99,"6,000",-,-,Revlon
"$1,904",1.8%,$-28,-380%,"$3,706","$1,829.3",-,"4,000",-,-,Covanta Holding
"$1,900",68%,$-743.9,-1526.1%,"$3,475.8","$4,368.1",-,"6,600",-,-,ChampionX
"$1,887.9",-10%,$-40.2,-,"$7,073.4","$2,230.7",-23,"2,400",-,-,EchoStar
"$1,885.3",-20.6%,$-5.7,-102.3%,"$3,037.6","$3,338.8",-89,"8,989",-,-,Kennametal
"$1,878.1",-3.1%,$55.2,12.2%,"$2,889.3",$579.9,-,"2,784",-,-,Valhi
"$1,876.5",-29.9%,$-81.2,-184.6%,"$2,465.9","$1,495.2",-147,"11,000",-,-,Guess
"$1,874.1",3.5%,$-26.3,-105.2%,"$2,993.3","$1,354.7",-,"11,900",-,-,Harsco
"$1,869.8",0.6%,$126.8,22.9%,"$1,752.3","$2,858.9",-,"2,293",-,-,Stepan
"$1,868.6",6.1%,$77.1,-,"$1,800.4",$624.7,-,"3,340",-,-,Clearwater Paper
"$1,861.2",-83.9%,"$-1,724.5",-2567.5%,"$10,589.3","$18,457.7",-719,"8,200",-,-,Live Nation Entertainment
"$1,860.5",9.2%,$859.1,-,"$5,848","$13,730",-,"3,059",-,-,BioMarin Pharmaceutical
"$1,860.1",1.6%,$-116.1,-,"$5,413.2","$2,649.4",-,"9,950",-,-,Surgery Partners
"$1,859.3",16.9%,$295,15.7%,"$2,917.7","$15,120.7",-,"5,800",-,-,Entegris
"$1,856.6",9.3%,$139.2,70.1%,$800.1,"$3,560.3",-,"4,625",-,-,Sleep Number
"$1,855.4",-5%,$88.6,-52%,"$8,241.2","$3,817.5",-,"3,583",-,-,Spire
